pattern,level,type_de,explanation_de,example_korean,example_german,note,type_en,explanation_en,example_en,note_en,id,quiz_focus_de,quiz_focus_en,quiz_enabled,quiz_distractor_ids
'ㅎ' 불규칙,B1,Unregelmäßig: ㅎ,ㅎ fällt weg · vor 아/어 entsteht ㅐ/ㅔ,그렇다 → 그래요,so sein → so ist es,빨갛다→빨개요 · regelmäßig: 좋다·많다·넣다,Irregular: ㅎ,ㅎ drops · before 아/어 the vowel becomes ㅐ/ㅔ,to be so → that's right,빨갛다→빨개요 · regular: 좋다·많다·넣다,grammar_b1_irregular_hieut,so ist es,that's right,false,
-대요/-(이)래요/-냬요/-재요,B2,Indirekte Rede (Kurzformen),Gesprochene Kurzformen der indirekten Rede: Aussage 대요 · Nomen (이)래요 · Frage 냬요 · Vorschlag 재요,내일 온대요.,Er sagt er kommt morgen.,ㄴ/는다고 해요 → 대요 · (으)라고 해요 → (으)래요,Reported speech (contracted),Spoken contractions of reported speech: statement 대요 · noun (이)래요 · question 냬요 · suggestion 재요,He says he's coming tomorrow.,ㄴ/는다고 해요 → 대요 · (으)라고 해요 → (으)래요,grammar_b2_quoted_contractions,Er sagt,He says,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
A/V-(으)ㄴ/는 편이다,B1,Tendenz und Vergleich,Drückt aus dass etwas im Vergleich zu anderen Fällen eher zutrifft. Bei Verben steht -는 편이다 und bei Adjektiven meist -(으)ㄴ 편이다.,이 동네는 관리비가 비싼 편이에요.,In dieser Gegend sind die Nebenkosten eher hoch.,Nicht für eine absolute Behauptung sondern für eine vorsichtige Einordnung.,Tendency and comparison,Shows that something is relatively true compared with other cases. Use -는 편이다 with verbs and usually -(으)ㄴ 편이다 with adjectives.,The maintenance fees in this neighborhood are rather high.,Use it for a measured comparison rather than an absolute claim.,grammar_b1_tendency,eher hoch,rather high,true,grammar_b1_intention|grammar_b1_background_contrast|grammar_b1_indirect_speech
V-아/어 놓다,B1,Vorbereitetes Ergebnis,Eine Handlung wird erledigt und ihr Ergebnis bleibt für einen späteren Zweck bestehen.,입주하기 전에 필요한 서류를 미리 준비해 놓았어요.,Vor dem Einzug habe ich die nötigen Unterlagen bereits vorbereitet.,Betont die vorbereitete Situation nicht nur die abgeschlossene Handlung.,Prepared result state,A completed action is left in place so that its result is available for a later purpose.,I already prepared the required documents before moving in.,It emphasizes the prepared result not only the completed action.,grammar_b1_prepared_state,bereits vorbereitet,already prepared,true,grammar_b1_intention|grammar_b1_background_contrast|grammar_b1_indirect_speech
V-(으)ㄹ 뻔하다,B1,Beinahe geschehen,Drückt aus dass ein unerwünschtes oder unerwartetes Ereignis fast passiert wäre.,계약서를 두고 올 뻔했어요.,Ich hätte den Vertrag beinahe liegen lassen.,Meist mit vergangenen Ereignissen und häufig mit einem negativen Ergebnis.,Near miss,Expresses that an unwanted or unexpected event nearly happened.,I almost left the contract behind.,Usually used for past events and often for a negative outcome.,grammar_b1_near_miss,beinahe liegen lassen,almost left,true,grammar_b1_intention|grammar_b1_background_contrast|grammar_b1_indirect_speech
V-(으)ㄴ 채(로),B1,Zustand beibehalten,Eine Handlung geschieht während ein vorheriger Zustand unverändert bleibt.,난방을 켠 채로 외출하면 에너지가 낭비돼요.,Wenn man ausgeht und die Heizung eingeschaltet lässt wird Energie verschwendet.,Das Verb vor 채 wird in der attributiven Vergangenheitsform verwendet.,Maintaining a state,An action happens while a previous state remains unchanged.,You waste energy by leaving the heating on when you go out.,The verb before 채 takes an attributive past form.,grammar_b1_state_while,eingeschaltet lässt,leaving the heating on,true,grammar_b1_intention|grammar_b1_background_contrast|grammar_b1_indirect_speech
V-(으)므로,B2,Formeller Grund,Verbindet einen Grund mit einer Folge in formeller schriftlicher oder öffentlicher Sprache.,제출 기한이 지났으므로 이번 신청은 접수할 수 없습니다.,"Da die Einreichungsfrist abgelaufen ist, kann dieser Antrag nicht angenommen werden.",In Gesprächen klingt -아/어서 oder -기 때문에 meist natürlicher.,Formal reason,Links a reason to a result in formal written or public language.,"As the submission deadline has passed, we cannot accept this application.",In ordinary conversation -아/어서 or -기 때문에 is usually more natural.,grammar_b2_formal_reason,Da die Einreichungsfrist abgelaufen ist,As the submission deadline has passed,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
V-도록 하다,B2,Formelle Regelung,Drückt eine formelle Absicht Anweisung oder Vereinbarung darüber aus wie etwas geschehen soll.,양측이 합의한 일정에 맞춰 업무를 진행하도록 하겠습니다.,"Wir werden dafür sorgen, dass die Arbeiten nach dem von beiden Seiten vereinbarten Zeitplan ausgeführt werden.",Häufig in Geschäfts- und Verwaltungssprache wenn man eine Verfahrensregel festlegt.,Formal arrangement,States a formal intention instruction or arrangement about how something should be done.,We will make sure that the work proceeds according to the schedule agreed by both sides.,Common in business and administrative language when setting a procedure.,grammar_b2_formal_arrangement,"dafür sorgen, dass",make sure that,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
V-(으)ㄴ/는 바,B2,Formeller Bezug,Nimmt in formeller Sprache Bezug auf einen Sachverhalt eine Anfrage oder eine Beobachtung.,검토한 바에 따르면 이 조항은 수정이 필요합니다.,Nach unserer Prüfung muss diese Klausel geändert werden.,Kommt vor allem in schriftlichen Mitteilungen und offiziellen Erklärungen vor.,Formal reference,Refers in formal language to a fact request or observation.,"According to our review, this clause needs to be revised.",Used mainly in written notices and official statements.,grammar_b2_formal_reference,Nach unserer Prüfung,According to our review,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
N을/를 비롯한,B2,Einschluss und Aufzählung,Bezeichnet eine Gruppe und hebt ein besonders wichtiges eingeschlossenes Element hervor.,임대인과 세입자를 비롯한 모든 당사자가 서명해야 합니다.,Alle Vertragsparteien einschließlich Vermieter und Mieter müssen unterschreiben.,N을 비롯한 bedeutet einschließlich N und bleibt in formellen Informationen häufig nützlich.,Inclusion and listing,Names a group while highlighting one important member included in it.,All parties including the landlord and tenant must sign.,N을 비롯한 means including N and is common in formal notices.,grammar_b2_inclusion,einschließlich Vermieter und Mieter,including the landlord and tenant,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
V-기로 되어 있다,B1,Fest vereinbarter Ablauf,Beschreibt einen bereits festgelegten Plan oder eine offizielle Regelung. Im Unterschied zu V-기로 하다 steht die persönliche Entscheidung nicht im Vordergrund.,내일 오전에 모든 팀원이 회의에 참석하기로 되어 있어요.,Alle Teammitglieder sind morgen Vormittag für die Besprechung eingeplant.,"Die Form verwendet man für feste Termine, Abläufe oder Zuständigkeiten und nicht für einen spontanen Entschluss.",Scheduled arrangement,"Describes a plan or official arrangement that has already been set. Unlike V-기로 하다, the speaker's personal decision is not the focus.",All team members are scheduled to attend the meeting tomorrow morning.,"Use it for fixed dates, procedures, or responsibilities and not for a spontaneous decision.",grammar_b1_scheduled_arrangement,eingeplant,are scheduled to,true,grammar_b1_decision|grammar_b1_intention|grammar_b1_future_probability
V-는 대로,B1,Unmittelbare Folge,"Zeigt, dass die nächste Handlung direkt nach dem Abschluss oder der Bestätigung der ersten erfolgt. Je nach Kontext kann -는 대로 auch gemäß bedeuten.",참석 여부가 확인되는 대로 최종 일정을 알려 드리겠습니다.,"Sobald die Teilnahme bestätigt ist, teilen wir Ihnen den endgültigen Termin mit.",Das Verb vor -는 대로 steht meist im Präsens und betont hier unmittelbares Handeln.,Immediate follow-up,Shows that the next action happens immediately after the first action is completed or confirmed. Depending on context -는 대로 can also mean according to.,"As soon as attendance is confirmed, we will let you know the final schedule.",The verb before -는 대로 is usually in the present tense and here emphasizes immediate action.,grammar_b1_as_soon_as,Sobald,As soon as,true,grammar_b1_immediate_sequence|grammar_b1_after|grammar_b1_decision
V-(으)ㄹ 예정이다,B1,Geplanter Zukunftstermin,"Beschreibt eine Handlung, die für die Zukunft geplant ist und deren Zeitpunkt oder Ablauf bereits feststeht.",회의실을 예약한 뒤에 다음 주 일정을 확정할 예정이에요.,"Nachdem wir den Besprechungsraum reserviert haben, planen wir, den Zeitplan für nächste Woche endgültig festzulegen.",Nützlich für Termine und Vorhaben; im Unterschied zu -기로 하다 wird die Planung stärker als Zukunftsablauf beschrieben.,Planned future action,Expresses a future action whose timing or process has already been planned.,"After reserving the meeting room, we plan to finalize next week's schedule.",Useful for schedules and plans; unlike -기로 하다 it presents the plan more strongly as a future course of action.,grammar_b1_planned_future,planen wir,plan to,true,grammar_b1_future_probability|grammar_b1_intention|grammar_b1_decision
V-아/어 주시면 좋겠다,B1,Höfliche Bitte,"Drückt eine vorsichtige Bitte aus, indem die gewünschte Handlung als hilfreiche Möglichkeit formuliert wird.",일정이 바뀌면 가능한 한 빨리 알려 주시면 좋겠어요.,"Es wäre hilfreich, wenn Sie uns so früh wie möglich informieren würden, falls sich der Termin ändert.","Höflicher und weniger direkt als eine Verpflichtung; passt zu Kolleginnen, Kollegen oder Dienstleistenden.",Soft request,Expresses a gentle request by presenting the desired action as something that would be helpful.,I would appreciate it if you could let us know as soon as possible when the schedule changes.,It is more polite and less direct than an obligation and suits coworkers or service staff.,grammar_b1_soft_request,Es wäre hilfreich,I would appreciate it,true,grammar_b1_wish|grammar_b1_obligation|grammar_b1_honorific_si
V-아/어 주시기 바랍니다,B2,Formelle schriftliche Bitte,"Formuliert eine höfliche, aber verbindliche Aufforderung in offiziellen Mitteilungen, Formularen oder formellen E-Mails.",관련 서류를 보완하여 기한 안에 다시 제출해 주시기 바랍니다.,Bitte ergänzen Sie die relevanten Unterlagen und reichen Sie sie innerhalb der Frist erneut ein.,Passt zu schriftlichen Hinweisen; im Gespräch klingt -아/어 주세요 meist natürlicher.,Formal written request,"Forms a polite but binding request in official notices, forms, or formal emails.",Please supplement the relevant documents and resubmit them within the deadline.,It suits written notices; in conversation -아/어 주세요 is usually more natural.,grammar_b2_formal_written_request,Bitte,Please,true,grammar_b2_formal_intention|grammar_b2_formal_cause|grammar_b2_according_to
V-아/어 주시기를 요청하다,B2,Ausdrückliche formelle Aufforderung,"Formuliert eine ausdrückliche Aufforderung in Beschwerden, Anträgen oder formellen Schreiben. Die gewünschte Handlung wird als Bitte an die angesprochene Stelle markiert.",귀사에서 결함 원인에 대한 서면 답변을 보내 주시기를 요청합니다.,"Wir bitten Ihr Unternehmen darum, uns eine schriftliche Antwort zur Ursache des Mangels zu senden.",Vermeidet einen bloßen Befehl und benennt die konkrete erwartete Handlung deutlich.,Explicit formal request,"Forms an explicit request in complaints, applications, or formal writing. It marks the desired action as a request to the addressed organization.",We request that your company send us a written response about the cause of the defect.,It avoids a bare command while clearly naming the action that is expected.,grammar_b2_explicit_formal_request,Wir bitten,We request that,true,grammar_b2_formal_intention|grammar_b2_formal_cause|grammar_b2_according_to
N에 관하여,B2,Formeller Bezug,"Bezieht sich in schriftlicher oder öffentlicher Sprache förmlich auf ein Thema, einen Vorgang oder ein Ergebnis.",처리 결과에 관하여 서면 답변을 요청드립니다.,Bezüglich des Bearbeitungsergebnisses bitten wir um eine schriftliche Antwort.,In neutralen Gesprächen ist N에 대해(서) meist natürlicher; 관하여 wirkt formeller.,Formal reference,"Refers formally to a topic, process, or result in written or public language.","Regarding the processing outcome, we request a written response.",In neutral conversation N에 대해(서) is usually more natural; 관하여 sounds more formal.,grammar_b2_formal_regarding,Bezüglich,Regarding,true,grammar_b2_according_to|grammar_b2_formal_cause|grammar_b2_despite
A/V-(으)ㄴ/는 이상,B2,Feststehende Voraussetzung,Stellt einen bereits feststehenden Sachverhalt als Grundlage für eine notwendige Folge oder Beurteilung dar.,민원이 정식으로 접수된 이상 처리 결과를 서면으로 알려 드려야 합니다.,"Da die Beschwerde nun offiziell eingegangen ist, müssen wir Ihnen das Ergebnis schriftlich mitteilen.",Stärker und formeller als eine einfache Bedingung; häufig in Begründungen und Richtlinien.,Established premise,Treats an established fact as the basis for a necessary consequence or judgment.,"Now that the complaint has been officially received, we must inform you of the result in writing.",It is stronger and more formal than a simple condition and is common in justifications and guidelines.,grammar_b2_established_premise,nun offiziell eingegangen,Now that,true,grammar_b2_as_long_as|grammar_b2_formal_cause|grammar_b2_formal_concession
A/V-기에,B2,Begründete Einschätzung,Verbindet einen als nachvollziehbar dargestellten Grund mit einer Einschätzung oder Folge. Die Form klingt schriftlicher und abwägender als -아/어서.,서로 처지가 다르기에 같은 선택을 두고도 판단이 엇갈릴 수 있어요.,"Da die Lebensumstände verschieden sind, können die Einschätzungen derselben Entscheidung auseinandergehen.",Passt zu begründeten Meinungen und nicht zu einer bloßen zeitlichen Abfolge.,Reasoned perspective,Links a reason presented as understandable to an evaluation or consequence. It sounds more considered and written than -아/어서.,"Because people are in different circumstances, they can judge the same choice differently.",Use it for a reasoned view rather than a simple sequence of events.,grammar_b2_reasoned_perspective,Da die Lebensumstände verschieden sind,Because people are in different circumstances,true,grammar_b2_formal_cause|grammar_b2_even_if|grammar_b2_according_to
V-기 나름이다,B2,Abhängig von der Art und Weise,Drückt aus dass das Ergebnis davon abhängt wie man etwas tut oder damit umgeht. Es lenkt den Blick auf die Methode statt auf eine feste Regel.,같은 원칙도 실제 생활에서 어떻게 실천하기 나름이에요.,"Auch dasselbe Prinzip zeigt sich anders, je nachdem, wie man es im Alltag umsetzt.",Oft steht vor der Form eine Frage wie 어떻게 oder 얼마나.,Method-dependent outcome,Expresses that the result depends on how something is done or handled. It shifts attention from a fixed rule to the method.,Even the same principle can look different depending on how you put it into practice in daily life.,A question word such as 어떻게 or 얼마나 often comes before the form.,grammar_b2_method_dependent,je nachdem,depending on how,true,grammar_b2_according_to|grammar_b2_inevitability|grammar_b2_summary_judgment
A/V-(으)ㄴ/는 듯하다,B2,Vorsichtiger Eindruck,Formuliert einen Eindruck oder eine Vermutung ohne ihn als sichere Tatsache darzustellen. Bei Verben steht meist -는 듯하다 und bei Adjektiven -(으)ㄴ 듯하다.,이 글은 담담한 듯하지만 마지막 문장에 깊은 아쉬움이 남아 있어요.,"Dieser Text wirkt nüchtern, doch im letzten Satz bleibt eine tiefe Wehmut zurück.",Nützlich wenn eine Lesart angeboten wird ohne andere Deutungen auszuschließen.,Cautious impression,States an impression or inference without presenting it as certain fact. Verbs usually take -는 듯하다 and adjectives -(으)ㄴ 듯하다.,"This text seems restrained, yet the final sentence leaves a deep sense of regret.",Useful when offering one reading without ruling out others.,grammar_b2_impression_appearance,wirkt nüchtern,seems restrained,true,grammar_b2_as_if|grammar_b2_contrast|grammar_b2_definition
V-고 나서야,B2,Erkenntnis erst danach,Betont dass eine Einsicht oder Veränderung erst nach dem Abschluss einer vorherigen Handlung möglich wurde. Das 야 verstärkt den späten Zeitpunkt.,글을 끝까지 읽고 나서야 앞부분의 반복이 왜 필요한지 알게 됐어요.,"Erst nachdem ich den Text zu Ende gelesen hatte, verstand ich, warum sich der Anfang wiederholt.",Die Folge ist häufig eine Erkenntnis oder ein Ergebnis das vorher nicht erreichbar war.,Only after completion,Emphasizes that an insight or change became possible only after an earlier action was completed. 야 reinforces the delayed point in time.,Only after I had read the text to the end did I understand why the opening repeats.,The result is often an insight or outcome that was not available before.,grammar_b2_only_after,Erst nachdem,Only after,true,grammar_b2_counterfactual_past|grammar_b2_as_long_as|grammar_b2_only
N을/를 둘러싸고,B2,Debatte um ein Thema,Bezeichnet unterschiedliche Reaktionen oder Diskussionen rund um ein Thema. Der Ausdruck passt zu gesellschaftlichen Fragen und öffentlichen Gesprächen.,새 표현의 사용을 둘러싸고 세대마다 의견이 다를 수 있어요.,Rund um die Verwendung neuer Ausdrücke können die Meinungen zwischen den Generationen auseinandergehen.,Die Form beschreibt das Diskussionsthema und nicht bloß einen räumlichen Kreis.,Debate around a topic,Names the topic around which reactions or discussion arise. It suits social questions and public conversation.,Generations can disagree over the use of new expressions.,It describes a subject of discussion rather than a physical circle.,grammar_b2_topic_debate,Rund um die Verwendung,disagree over,true,grammar_b2_according_to|grammar_b2_contrast|grammar_b2_definition
V-다가는,B2,Warnung vor einer negativen Folge,Warnt davor dass eine fortgesetzte Handlung wahrscheinlich zu einem unerwünschten Ergebnis führt. Die Folge ist normalerweise negativ.,상대의 말투만 보고 의도를 단정하다가는 오해가 커질 수 있어요.,"Wenn man die Absicht nur aus dem Tonfall ableitet, können Missverständnisse größer werden.",Nicht für neutrale Folgen verwenden. Der Satz sollte eine echte Warnung oder ein Risiko enthalten.,Warning of a negative consequence,Warns that continuing an action is likely to lead to an unwanted result. The result is normally negative.,"If you keep assuming intent from tone alone, misunderstandings can grow.",Do not use it for neutral consequences. The sentence should contain a real warning or risk.,grammar_b2_negative_consequence,nur aus dem Tonfall,If you keep assuming,true,grammar_b2_worry|grammar_b2_even_if|grammar_b2_formal_cause
V-는데도 V-는 척하다,B2,Gegensatz + Heuchelei,"Obwohl X, tut so als ob Y: Widerspruch zwischen Wirklichkeit und Verhalten",다 알면서 모르는 척했어.,"Er wusste alles und tat so, als wüsste er nichts.",-는데도 = obwohl · -는 척하다 = so tun als ob,Contrast + pretense,"Even though X, pretends Y: contradiction between reality and behavior",He knew everything but pretended not to.,-는데도 = even though · -는 척하다 = pretend,grammar_b2_pretense_contrast,"tat so, als wüsste er nichts",pretended not to,true,grammar_b2_inevitability|grammar_b2_only|grammar_b2_quoted_contractions
V-는 데다가 A-기까지 하다,B2,Ergänzung (zusätzlich),"Nicht nur X, sondern sogar Y: eine Sache kommt zur anderen",시설이 깨끗한 데다가 사람도 적기까지 해서 좋아요.,Die Einrichtung ist sauber und es sind sogar wenig Leute da.,-는 데다가 = nicht nur · -기까지 하다 = und sogar,Addition (on top of that),"Not only X, but even Y: one thing added to another",The facilities are clean and there are even few people.,-는 데다가 = not only · -기까지 하다 = and even,grammar_b2_addition_even,sogar wenig Leute da,there are even few people,true,grammar_b2_pretense_contrast|grammar_b2_inevitability|grammar_b2_only
V-다고/냐고/라고/자고 하다,B2,Indirekte Rede (vollständig),Vollständige indirekte Rede: Aussage(-다고) · Frage(-냐고) · Befehl(-라고) · Vorschlag(-자고),내일 온다고 했어.,"Er hat gesagt, dass er morgen kommt.",-다고 = Aussage · -냐고 = Frage · -(으)라고 = Befehl · -자고 = Vorschlag,Indirect speech (complete),Complete indirect speech: statement(-다고) · question(-냐고) · command(-라고) · suggestion(-자고),He said he's coming tomorrow.,-다고 = statement · -냐고 = question · -(으)라고 = command · -자고 = suggestion,grammar_b2_indirect_speech,dass er morgen kommt,said he's coming,true,grammar_b2_quoted_contractions|grammar_b2_pretense_contrast|grammar_b2_addition_even
V-아/어 봤자,B2,Vergeblichkeit (auch wenn),"Auch wenn man X tut, bringt es nichts / ändert sich nichts",지금 가 봤자 이미 끝났을 거야.,"Selbst wenn du jetzt hingehst, wird es schon vorbei sein.","-아/어 봤자 = es bringt nichts, denn... · stärker als -아/어도",Futility (even if),"Even if you do X, it's pointless / won't change anything","Even if you go now, it'll already be over.",-아/어 봤자 = it's pointless because... · stronger than -아/어도,grammar_b2_futility,schon vorbei sein,it'll already be over,true,grammar_b2_addition_even|grammar_b2_pretense_contrast|grammar_b2_indirect_speech
V-는 바람에,B2,Unerwarteter Grund,Wegen / Weil (unerwartet): unvorhergesehener Grund mit negativem Ergebnis,갑자기 비가 오는 바람에 옷이 다 젖었어.,"Weil es plötzlich regnete, wurde meine Kleidung nass.","-는 바람에 = wegen (unerwartet, negativ) · -기 때문에 = wegen (neutral)",Unexpected cause,Because (unexpectedly): unforeseen cause with negative result,"Because it suddenly rained, my clothes got all wet.","-는 바람에 = because (unexpected, negative) · -기 때문에 = because (neutral)",grammar_b2_unexpected_cause,plötzlich regnete,suddenly rained,true,grammar_b2_addition_even|grammar_b2_futility|grammar_b2_indirect_speech
V-(으)ㄹ 만하다,B2,Es wert sein / Verdient haben,"Es ist wert, X zu tun: positive Bewertung",이 영화는 볼 만해.,Dieser Film ist sehenswert.,-(으)ㄹ 만하다 = es wert sein · -(으)ㄹ 만큼 = so sehr dass,Worth doing,It is worth doing X: positive assessment,This movie is worth watching.,-(으)ㄹ 만하다 = worth doing · -(으)ㄹ 만큼 = to the extent that,grammar_b2_worth_doing,sehenswert,worth watching,true,grammar_b2_futility|grammar_b2_not_only|grammar_b2_addition_even
V-는 셈이다,B2,Praktisch / Quasi (Einschätzung),"Es ist quasi X / Man kann sagen, dass X: subjektive Einschätzung",거의 매일 운동하니까 건강한 셈이지.,"Da ich fast jeden Tag Sport mache, bin ich quasi gesund.","-는 셈이다 = quasi/praktisch · subjektive Einschätzung, keine Tatsache",Practically / In a sense,It's practically X / One could say X: subjective assessment,"Since I exercise almost every day, I'm practically healthy.","-는 셈이다 = practically/in a sense · subjective, not factual",grammar_b2_practically,quasi gesund,practically healthy,true,grammar_b2_worth_doing|grammar_b2_not_only|grammar_b2_addition_even
A/V-다고 해서 A/V-는 것은 아니다,B2,Keine automatische Schlussfolgerung,"Weist zurück, dass aus einer Tatsache automatisch eine bestimmte Bewertung oder Folge entsteht. Die erste Aussage wird anerkannt, die voreilige Schlussfolgerung aber begrenzt.",연락이 뜸하다고 해서 마음까지 멀어진 것은 아니에요.,"Nur weil sich jemand seltener meldet, ist die Beziehung nicht automatisch distanzierter geworden.","Der zweite Teil sollte genau die Schlussfolgerung nennen, die nicht zwingend gilt.",Rejecting an automatic conclusion,Rejects the idea that one fact automatically leads to a particular judgment or result. The first fact is acknowledged while the rushed conclusion is limited.,Just because someone is in touch less often does not mean the relationship has grown distant.,Use the second clause to name the conclusion that does not necessarily follow.,grammar_b2_not_automatic_conclusion,Nur weil,Just because,true,grammar_b2_outcome_depends|grammar_b2_shared_merit|grammar_b2_compared_with
V-느냐에 달려 있다,B2,Ergebnis abhängig von einer Bedingung,"Zeigt, dass ein Ergebnis davon abhängt, welche Entscheidung getroffen oder wie eine Handlung ausgeführt wird.",공용 공간이 편해지느냐는 이용 규칙을 서로 지키느냐에 달려 있어요.,"Ob ein Gemeinschaftsraum angenehm wird, hängt davon ab, ob alle die Nutzungsregeln einhalten.",Vor 달려 있다 steht häufig eine eingebettete Frage mit -느냐.,Outcome depending on a choice,Shows that an outcome depends on what decision is made or how an action is carried out.,Whether a shared space works well depends on everyone following the usage rules.,The embedded question before 달려 있다 commonly ends in -느냐.,grammar_b2_outcome_depends,hängt davon ab,depends on,true,grammar_b2_turning_point|grammar_b2_in_light_of|grammar_b2_only_course
N을/를 계기로,B2,Anlass für eine Veränderung,"Markiert ein Ereignis als konkreten Anlass, nach dem eine neue Handlung, Gewohnheit oder Entwicklung beginnt.",이웃과 소음 문제를 이야기한 것을 계기로 공용 공간 규칙을 다시 정했어요.,"Das Gespräch mit den Nachbarn über den Lärm gab den Anlass, die Regeln für den Gemeinschaftsbereich neu festzulegen.",Nicht jeder zeitliche Vorläufer ist ein 계기. Das Ereignis muss eine erkennbare Veränderung anstoßen.,Turning point for a change,"Marks an event as the occasion that leads to a new action, habit, or development.",Our conversation with the neighbors about noise became the turning point for rewriting the shared-space rules.,"The event should trigger a recognizable change, not merely happen earlier.",grammar_b2_turning_point,gab den Anlass,turning point,true,grammar_b2_shared_merit|grammar_b2_compared_with|grammar_b2_instead_tradeoff
A/V-다는 점에서,B2,Bewertung nach einem gemeinsamen Merkmal,"Hebt einen bestimmten Aspekt hervor, unter dem etwas bewertet oder mit etwas anderem verbunden wird.",답장을 재촉하지 않는다는 점에서 그 메시지는 상대의 시간을 배려하고 있어요.,"Die Nachricht ist insofern rücksichtsvoll, als sie nicht auf eine schnelle Antwort drängt.","Nach der Form folgt meist eine Bewertung, deren Grundlage der hervorgehobene Punkt ist.",Evaluation from a stated aspect,Highlights a particular aspect that forms the basis for an evaluation or comparison.,The message is considerate in that it does not pressure the other person to reply quickly.,The following evaluation should be grounded in the point introduced before the form.,grammar_b2_shared_merit,insofern,in that,true,grammar_b2_in_light_of|grammar_b2_only_course|grammar_b2_not_automatic_conclusion
N에 비추어 볼 때,B2,Urteil im Licht eines Maßstabs,"Leitet eine Einschätzung ein, die sich auf bekannte Umstände, Daten oder einen Maßstab stützt.",지금까지의 이용 기록에 비추어 볼 때 저녁 예약을 두 구간으로 나누는 게 좋겠어요.,Im Licht der bisherigen Nutzungsdaten sollten wir die Abendreservierung in zwei Zeitfenster teilen.,Der vorangestellte Maßstab muss für die folgende Einschätzung wirklich relevant sein.,Judgment in light of evidence,"Introduces an assessment based on known circumstances, evidence, or a stated standard.","In light of the usage records so far, we should split the evening reservation into two slots.",The evidence before the form should be directly relevant to the assessment.,grammar_b2_in_light_of,Im Licht,In light of,true,grammar_b2_compared_with|grammar_b2_instead_tradeoff|grammar_b2_outcome_depends
A/V-(으)ㄴ/는 데 비해,B2,Kontrast zu einer Vergleichsbasis,"Vergleicht zwei Situationen und hebt hervor, dass sie sich in einem bestimmten Punkt deutlich unterscheiden.",첫 안내문은 글자가 작은 데 비해 새 안내문은 멀리서도 잘 보여요.,"Während der erste Hinweis klein gedruckt war, ist der neue auch aus der Entfernung gut lesbar.",Beide Seiten sollten nach einem nachvollziehbaren gemeinsamen Kriterium vergleichbar sein.,Contrast against a baseline,Compares two situations and highlights a clear difference on a shared dimension.,"Whereas the first notice had small text, the new one is easy to read even from a distance.",Both clauses should be comparable along a clear shared dimension.,grammar_b2_compared_with,Während,Whereas,true,grammar_b2_only_course|grammar_b2_not_automatic_conclusion|grammar_b2_turning_point
V-(으)ㄹ 따름이다,B2,Nur eine begrenzte Haltung oder Handlung,"Betont in eher ruhigem oder schriftlichem Ton, dass nur die genannte Haltung, Handlung oder Möglichkeit bleibt.",이미 생긴 불편을 탓하기보다 다음에는 어떻게 막을지 함께 정할 따름이에요.,"Statt die entstandenen Umstände zu beklagen, bleibt uns nur, gemeinsam festzulegen, wie wir sie künftig verhindern.",Die Form klingt zurückhaltender und formeller als -을 뿐이다.,Nothing more than the stated course,"Emphasizes in a restrained tone that only the stated attitude, action, or option remains.","Rather than blame each other for the inconvenience, all we can do is decide together how to prevent it next time.",The form is more restrained and written in tone than -을 뿐이다.,grammar_b2_only_course,bleibt uns nur,all we can do,true,grammar_b2_instead_tradeoff|grammar_b2_outcome_depends|grammar_b2_shared_merit
V-는 대신(에),B2,Ersatz mit Ausgleich,"Zeigt, dass eine Handlung oder Eigenschaft durch eine andere ersetzt oder durch einen Vor- oder Nachteil ausgeglichen wird.",회의를 길게 하는 대신 핵심 쟁점을 미리 문서로 공유해요.,"Statt die Besprechung in die Länge zu ziehen, teilen wir die Kernfragen vorher schriftlich.",Die beiden Teile sollten in einer echten Ersatz- oder Ausgleichsbeziehung stehen.,Substitution or tradeoff,"Shows that one action or quality replaces another, or that one side is balanced by a benefit or drawback.","Instead of holding a long meeting, we share the key issues in writing beforehand.",The two clauses should form a genuine substitution or tradeoff.,grammar_b2_instead_tradeoff,Statt,Instead of,true,grammar_b2_not_automatic_conclusion|grammar_b2_turning_point|grammar_b2_in_light_of
V-(으)ㄹ 바에야,C1,Bevorzugung der weniger schlechten Alternative,Vergleicht zwei unerwünschte oder anspruchsvolle Möglichkeiten und wählt die zweite als sinnvoller aus.,불확실한 수치를 확정된 것처럼 발표할 바에야 잠정치라고 분명히 밝히는 편이 나아요.,"Bevor wir unsichere Zahlen als endgültig ausgeben, sollten wir sie lieber klar als vorläufig kennzeichnen.","Die erste Möglichkeit wird meist deutlich abgelehnt, die zweite als bessere Alternative präsentiert.",Choosing the less undesirable option,Compares two difficult or undesirable options and presents the second as more sensible.,"Rather than present uncertain figures as final, we would be better off labeling them clearly as preliminary.",The first option is rejected and the second is offered as the preferable course.,grammar_c1_rather_than,Bevor,Rather than,true,grammar_c1_even_at_cost|grammar_c1_unless_condition|grammar_c1_excessive_result
